date,product_name,quantity,price
2021-08-30,Widget C,88,1.01
2022-04-08,Widget A,26,2.37
2022-03-27,Widget C,9,1.13
2021-09-07,Widget B,54,3.44
2022-03-31,Widget B,37,3.01
2022-01-07,Widget A,14,2.05
2022-01-29,Widget A,82,1.69
2021-11-09,Widget A,81,1.98
2021-03-25,Widget B,89,2.85
2021-11-16,Widget B,79,2.56
2022-01-22,Widget B,23,3.29
2021-10-11,Widget C,90,1.65
2022-09-15,Widget A,32,1.93
2020-11-29,Widget C,48,1.18
2022-10-19,Widget B,14,2.52
2021-01-13,Widget C,59,1.28
2020-06-13,Widget A,78,2.08
2020-06-24,Widget A,92,2.0
2021-06-09,Widget A,67,1.85
2022-07-14,Widget B,64,2.64
2021-05-24,Widget B,50,2.55
2020-12-15,Widget C,84,1.37
2020-12-05,Widget A,8,1.62
2020-03-12,Widget B,11,3.06
2020-03-19,Widget B,54,2.89
2020-11-20,Widget B,71,2.98
2020-05-10,Widget B,66,3.4
2022-12-05,Widget C,17,1.69
2022-12-28,Widget B,88,3.2
2021-04-27,Widget B,99,3.22
2022-12-08,Widget A,35,1.69
2022-11-19,Widget B,56,3.39
2022-01-17,Widget B,49,2.8
2021-01-19,Widget B,56,3.45
2022-02-20,Widget C,17,1.98
2022-12-02,Widget C,81,1.19
2020-01-29,Widget A,19,1.92
2022-08-09,Widget C,4,1.37
2020-12-25,Widget B,55,3.38
2022-07-14,Widget C,39,1.5
2022-02-21,Widget C,23,1.42
2021-12-28,Widget B,70,3.47
2020-09-06,Widget A,89,1.91
2022-01-22,Widget B,2,3.29
2022-07-11,Widget B,78,2.56
2022-11-09,Widget B,47,2.85
2020-12-30,Widget C,84,1.73
2020-05-18,Widget A,74,1.59
2021-05-05,Widget B,63,2.79
2020-10-17,Widget C,54,1.64
2020-06-07,Widget B,46,3.29
2020-01-05,Widget C,58,1.25
2020-09-08,Widget B,43,3.03
2021-11-04,Widget B,97,3.04
2021-07-09,Widget B,29,3.07
2022-10-26,Widget B,5,3.33
2021-04-29,Widget A,62,1.71
2022-08-27,Widget B,60,2.97
2022-07-16,Widget A,68,2.15
2020-06-20,Widget B,56,3.16
2022-09-17,Widget B,45,2.87
2020-08-02,Widget C,50,1.67
2022-05-15,Widget B,64,2.91
2022-04-23,Widget A,57,1.65
2022-02-06,Widget A,44,1.85
2021-05-07,Widget B,46,3.0
2022-07-21,Widget B,54,3.01
2021-02-10,Widget A,4,1.82
2020-07-07,Widget A,67,1.69
2021-07-21,Widget C,6,1.12
2022-04-08,Widget C,63,1.83
2022-02-01,Widget C,11,1.74
2022-02-24,Widget C,89,1.38
2021-07-04,Widget B,76,3.28
2020-03-18,Widget B,38,2.98
2021-12-19,Widget A,8,2.23
2022-09-26,Widget B,50,2.65
2020-03-14,Widget B,8,2.93
2020-01-18,Widget A,91,2.04
2022-04-24,Widget A,83,2.19
2021-04-21,Widget A,39,2.03
2020-03-21,Widget B,86,2.58
2021-07-07,Widget B,12,2.69
2021-11-10,Widget C,69,1.06
2021-10-05,Widget B,21,3.4
2021-11-03,Widget B,72,3.49
2021-05-13,Widget B,62,3.07
2022-05-31,Widget C,67,1.73
2021-10-29,Widget C,18,1.81
2020-04-05,Widget A,16,2.23
2021-08-14,Widget C,12,1.82
2020-08-09,Widget C,14,1.78
2021-09-14,Widget C,99,1.0
2021-01-15,Widget A,99,2.26
2022-12-29,Widget B,65,3.39
2020-03-11,Widget B,63,2.56
2020-01-16,Widget A,83,2.24
2022-09-17,Widget B,88,2.56
2021-12-14,Widget C,81,1.79
2022-02-28,Widget A,35,2.44
2022-04-28,Widget B,51,3.4
2020-04-04,Widget A,59,2.48
2021-10-14,Widget C,21,1.16
2020-08-08,Widget A,16,1.69
2021-03-30,Widget C,88,1.13
2022-03-06,Widget B,61,3.28
2022-05-18,Widget A,80,2.42
2021-04-22,Widget B,10,2.57
2020-11-12,Widget C,87,1.46
2022-05-21,Widget A,15,2.4
2022-01-18,Widget A,73,1.9
2022-01-30,Widget A,49,1.85
2020-03-06,Widget A,77,2.44
2020-04-29,Widget A,36,1.82
2020-04-05,Widget C,32,1.75
2020-07-25,Widget C,56,1.7
2020-03-03,Widget A,14,2.44
2021-11-22,Widget B,87,3.27
2021-04-28,Widget B,78,3.34
2020-07-22,Widget A,9,1.8
2022-09-15,Widget C,77,1.59
2021-04-09,Widget C,27,1.56
2021-06-24,Widget A,4,2.43
2022-01-31,Widget A,35,1.66
2020-09-18,Widget B,79,3.22
2022-08-23,Widget A,20,2.24
2022-09-24,Widget B,15,2.55
2022-11-22,Widget A,62,1.83
2021-05-14,Widget A,89,1.53
2021-09-23,Widget C,12,1.31
2021-03-31,Widget C,90,1.35
2022-11-01,Widget C,5,1.57
2020-11-26,Widget B,57,2.65
2020-06-17,Widget A,36,2.21
2022-06-19,Widget B,69,2.93
2022-02-17,Widget A,34,1.59
2022-01-23,Widget A,30,1.92
2022-07-13,Widget C,34,1.15
2022-01-19,Widget A,18,2.36
2020-10-13,Widget C,88,1.8
2020-10-18,Widget C,23,1.77
2020-09-25,Widget A,36,2.17
2021-07-23,Widget A,78,2.38
2020-10-26,Widget B,33,2.96
2020-02-25,Widget C,40,1.09
2020-04-26,Widget A,22,2.45
2021-05-07,Widget C,51,1.72
2022-11-26,Widget B,52,3.33
2022-02-13,Widget A,59,1.81
2021-02-18,Widget C,45,1.39
2021-02-20,Widget B,28,3.01
2020-05-18,Widget A,3,1.6
2022-11-26,Widget A,97,2.14
2022-02-14,Widget C,41,1.65
2020-12-24,Widget A,11,1.84
2021-02-17,Widget B,82,3.37
2020-11-07,Widget C,77,1.57
2020-07-26,Widget C,68,1.64
2020-03-28,Widget A,97,1.57
2020-04-12,Widget B,84,2.75
2022-01-17,Widget C,86,1.94
2022-10-21,Widget B,36,3.35
2021-07-08,Widget A,89,1.72
2022-04-15,Widget B,65,3.03
2022-06-06,Widget C,86,1.66
2020-01-07,Widget B,7,2.54
2021-08-18,Widget A,30,2.03
2022-02-03,Widget C,1,1.41
2022-04-14,Widget A,49,1.88
2022-07-29,Widget B,70,2.79
2020-11-30,Widget A,26,2.32
2021-09-22,Widget A,33,2.06
2020-01-19,Widget C,15,1.34
2020-12-02,Widget B,74,3.44
2020-06-02,Widget C,63,1.09
2022-04-12,Widget C,52,1.53
2022-07-20,Widget C,28,1.95
2022-03-09,Widget A,71,2.46
2021-09-07,Widget A,51,1.57
2020-11-21,Widget C,52,1.59
2022-01-11,Widget B,61,2.96
2020-12-28,Widget A,53,1.51
2022-09-09,Widget C,47,1.75
2022-08-19,Widget C,63,1.8
2020-10-05,Widget C,73,1.09
2020-01-25,Widget A,15,1.86
2022-06-27,Widget C,30,1.51
2022-12-03,Widget C,42,1.2
2021-06-11,Widget A,25,1.77
2021-05-01,Widget C,13,1.49
2021-03-01,Widget B,46,2.55
2020-12-16,Widget C,78,1.87
2022-09-12,Widget C,53,1.14
2022-09-26,Widget A,66,1.82
2020-12-28,Widget C,27,1.63
2022-03-22,Widget C,65,1.85
2020-03-03,Widget B,39,3.32
2021-04-06,Widget A,7,1.92
2021-07-25,Widget C,90,1.05
2020-11-04,Widget C,96,1.89
2021-10-02,Widget C,87,1.29
2020-05-12,Widget B,31,2.89
2020-10-18,Widget B,68,3.17
2020-06-16,Widget B,58,3.07
2021-10-19,Widget A,80,1.67
2020-03-09,Widget B,40,2.78
2021-06-18,Widget C,33,1.52
2020-08-08,Widget B,38,2.55
2020-11-22,Widget C,91,1.75
2021-03-15,Widget A,63,1.85
2020-05-21,Widget A,64,2.09
2020-07-30,Widget A,2,2.25
2020-12-05,Widget C,57,1.71
2021-03-30,Widget C,13,1.37
2021-05-28,Widget A,96,2.27
2022-12-10,Widget C,64,1.79
2022-08-14,Widget C,59,1.38
2022-11-16,Widget A,48,2.4
2020-11-11,Widget A,3,2.03
2021-09-04,Widget C,63,1.55
2021-05-19,Widget C,98,1.83
2021-09-01,Widget A,15,2.27
2020-08-04,Widget B,9,2.97
2022-09-26,Widget C,77,1.49
2021-08-23,Widget C,46,1.45
2020-10-25,Widget C,61,1.42
2022-10-25,Widget B,91,2.74
2020-10-17,Widget B,6,2.66
2022-07-14,Widget C,46,1.05
2022-08-09,Widget C,75,1.19
2022-01-07,Widget B,13,2.67
2021-10-01,Widget C,94,1.87
2022-04-04,Widget B,53,3.2
2021-04-01,Widget C,14,1.64
2021-10-22,Widget A,61,2.22
2021-07-28,Widget A,60,2.13
2021-03-10,Widget C,14,1.15
2021-12-21,Widget A,40,1.86
2020-07-13,Widget B,23,3.25
2021-07-30,Widget A,89,2.22
2020-01-09,Widget B,57,2.95
2022-06-19,Widget C,19,1.46
2021-09-23,Widget A,81,1.5
2021-07-20,Widget B,92,3.21
2020-03-20,Widget C,56,1.99
2022-10-28,Widget A,88,1.65
2021-12-07,Widget B,56,3.3
2021-02-25,Widget C,6,1.13
2022-08-28,Widget B,90,3.03
2020-10-16,Widget A,54,1.65
2022-04-04,Widget B,26,3.05
2022-11-05,Widget C,72,1.36
2020-09-26,Widget A,96,2.17
2021-11-03,Widget C,63,1.52
2022-02-24,Widget A,91,1.98
2021-11-25,Widget C,81,1.58
2022-01-26,Widget C,60,1.61
2020-12-08,Widget B,40,2.94
2020-08-05,Widget B,8,3.18
2022-03-10,Widget A,90,2.2
2020-09-11,Widget C,6,1.55
2021-10-23,Widget A,69,2.45
2022-04-02,Widget A,35,2.44
2021-04-18,Widget A,46,2.1
2022-07-19,Widget C,52,1.23
2021-08-05,Widget A,71,1.82
2022-12-03,Widget B,41,3.14
2020-06-29,Widget B,33,3.47
2020-03-16,Widget A,13,1.94
2020-09-22,Widget A,75,1.83
2020-03-15,Widget C,23,1.07
2022-03-04,Widget B,35,2.6
2020-01-07,Widget C,69,1.53
2020-04-27,Widget B,77,2.66
2022-08-05,Widget B,6,3.2
2022-07-30,Widget A,57,1.54
2021-12-10,Widget C,86,1.83
2021-01-18,Widget A,31,2.02
2020-10-23,Widget A,88,1.53
2021-12-09,Widget C,53,1.81
2022-10-11,Widget C,16,1.45
2020-02-01,Widget A,88,2.08
2022-02-23,Widget C,83,1.39
2020-05-10,Widget A,96,1.81
2022-03-14,Widget C,26,1.29
2020-12-17,Widget A,70,2.37
2022-02-25,Widget B,65,2.5
2021-02-25,Widget C,78,1.46
2021-09-23,Widget C,57,1.39
2020-07-24,Widget A,88,1.75
2021-05-11,Widget B,21,3.1
2020-03-04,Widget C,97,1.88
2021-06-09,Widget A,25,1.93
2022-03-22,Widget A,83,1.82
2022-04-12,Widget C,94,1.83
2020-12-08,Widget B,90,2.78
2022-05-14,Widget A,66,2.37
2020-11-24,Widget C,13,1.39
2021-01-19,Widget C,8,1.53
2022-07-12,Widget C,57,1.61
2020-01-26,Widget B,84,2.65
2022-07-15,Widget A,24,1.83
2021-06-01,Widget B,73,3.4
2022-01-05,Widget A,30,1.67
2020-01-21,Widget C,79,1.7
2022-12-20,Widget C,11,1.48
2021-12-28,Widget C,65,1.34
2022-06-24,Widget B,76,3.48
2020-10-11,Widget C,60,1.45
2022-04-04,Widget A,66,2.26
2021-03-30,Widget C,67,1.3
2022-09-16,Widget C,18,1.84
2020-08-03,Widget C,14,1.02
2020-10-07,Widget C,35,1.0
2020-02-05,Widget A,77,1.8
2020-10-09,Widget B,41,2.71
2020-11-05,Widget C,53,1.99
2021-10-08,Widget C,15,1.56
2020-08-05,Widget A,98,1.82
2022-05-05,Widget C,65,1.75
2020-02-17,Widget A,22,2.42
2020-09-23,Widget C,1,1.34
2020-05-27,Widget A,34,1.84
2022-05-07,Widget B,14,3.28
2020-09-08,Widget B,26,3.32
2021-01-05,Widget C,54,1.61
2021-11-27,Widget C,57,1.44
2021-03-14,Widget C,99,1.28
2020-12-13,Widget C,50,1.02
2022-09-05,Widget C,88,1.8
2021-03-31,Widget A,66,2.22
2022-03-06,Widget C,5,1.66
2022-04-05,Widget B,15,3.33
2022-05-04,Widget C,47,1.04
2020-09-13,Widget A,42,1.87
2022-09-17,Widget C,82,1.48
2020-10-22,Widget A,33,1.54
2020-12-16,Widget C,86,1.32
2020-03-22,Widget A,33,1.51
2020-08-19,Widget C,29,1.39
2021-08-11,Widget B,29,2.75
2020-12-24,Widget C,65,1.25
2022-04-18,Widget A,8,1.89
2020-05-25,Widget C,1,1.23
2022-03-23,Widget B,40,3.31
2022-11-08,Widget C,37,1.9
2022-11-27,Widget C,96,1.45
2022-12-24,Widget A,25,1.98
2020-08-08,Widget C,35,1.78
2022-07-11,Widget B,19,2.71
2020-11-06,Widget B,13,3.25
2021-06-19,Widget B,31,3.4
2022-08-24,Widget C,76,1.33
2021-08-29,Widget C,60,1.37
2021-12-13,Widget B,15,3.18
2022-06-23,Widget C,1,1.03
2021-11-01,Widget B,43,3.04
2021-01-16,Widget B,78,2.97
2021-09-25,Widget B,15,2.94
2020-09-11,Widget C,58,1.54
2021-12-02,Widget B,9,2.57
2022-09-02,Widget C,86,1.64
2022-02-08,Widget C,47,1.75
2021-07-12,Widget B,69,2.96
2022-05-26,Widget B,71,2.98
2020-07-29,Widget C,42,1.29
2022-09-23,Widget C,88,1.76
2020-08-20,Widget B,96,2.88
2020-01-31,Widget B,85,3.44
2021-02-09,Widget C,49,1.53
2022-04-27,Widget B,66,3.23
2020-07-25,Widget C,25,1.45
2021-03-03,Widget C,27,1.56
2021-05-18,Widget B,63,3.24
2022-11-07,Widget A,10,1.95
2022-10-23,Widget B,32,2.81
2021-09-17,Widget B,46,2.92
2021-10-24,Widget B,21,2.96
2022-05-09,Widget B,41,3.43
2022-03-15,Widget C,53,1.2
2022-03-16,Widget B,93,3.21
2020-01-10,Widget A,23,2.48
2022-08-12,Widget A,37,2.33
2021-09-14,Widget C,26,1.98
2021-04-13,Widget B,86,2.91
2020-04-26,Widget B,72,3.23
2022-04-13,Widget B,45,2.51
2021-02-03,Widget A,85,1.63
2022-09-04,Widget B,86,3.23
2022-05-26,Widget C,11,1.23
2021-01-24,Widget A,46,2.27
2022-09-20,Widget C,60,1.49
2022-07-08,Widget C,47,1.23
2022-01-13,Widget B,69,3.33
2022-07-25,Widget C,84,1.77
2022-12-19,Widget B,3,3.19
2022-04-03,Widget A,75,1.86
2021-09-08,Widget C,2,1.11
2022-03-31,Widget C,19,1.86
2022-01-06,Widget A,2,1.73
2020-02-05,Widget B,38,2.57
2021-02-23,Widget B,35,2.85
2020-01-23,Widget C,98,1.98
2022-03-29,Widget B,40,2.64
2022-06-03,Widget B,77,3.04
2020-11-30,Widget C,27,1.4
2021-07-27,Widget A,34,2.19
2022-06-13,Widget B,63,2.64
2022-07-14,Widget B,13,3.2
2020-10-31,Widget C,71,1.54
2020-07-04,Widget C,2,1.01
2020-09-13,Widget A,10,2.48
2022-06-18,Widget C,31,1.99
2021-07-26,Widget A,59,1.56
2022-02-13,Widget C,49,1.2
2021-06-11,Widget A,39,1.8
2021-11-10,Widget A,27,1.75
2021-01-09,Widget C,44,1.52
2020-03-08,Widget B,68,2.92
2020-03-24,Widget B,53,2.81
2021-02-05,Widget C,67,1.86
2021-07-09,Widget C,95,1.79
2022-08-05,Widget B,84,2.84
2022-10-08,Widget C,4,1.87
2022-04-26,Widget A,67,1.71
2021-04-19,Widget C,59,1.5
2022-01-08,Widget C,93,1.66
2020-02-08,Widget B,65,2.55
2021-05-22,Widget B,78,3.36
2020-02-20,Widget C,49,1.93
2020-03-06,Widget C,19,1.58
2021-06-19,Widget C,71,1.29
2021-06-27,Widget A,58,2.08
2022-11-14,Widget C,43,1.26
2020-03-13,Widget C,5,1.41
2022-07-11,Widget B,44,3.39
2021-12-11,Widget C,64,1.58
2021-12-13,Widget C,77,1.83
2020-07-25,Widget C,38,1.09
2021-10-16,Widget B,95,2.77
2021-03-13,Widget B,93,3.34
2022-11-27,Widget C,23,1.78
2022-10-06,Widget C,24,1.47
2021-10-11,Widget B,78,2.88
2021-12-09,Widget A,38,1.86
2021-09-16,Widget A,11,2.12
2020-06-06,Widget A,62,2.21
2020-02-27,Widget C,84,1.55
2021-10-04,Widget C,66,1.75
2022-12-14,Widget C,69,1.39
2022-05-03,Widget A,97,2.42
2021-07-27,Widget B,5,2.68
2020-09-13,Widget A,22,2.45
2020-10-25,Widget C,12,1.89
2020-07-28,Widget B,58,3.47
2021-05-26,Widget C,43,1.96
2020-05-24,Widget A,81,1.84
2020-06-13,Widget C,46,1.19
2021-09-19,Widget B,52,2.76
2021-10-19,Widget C,72,1.59
2020-05-03,Widget A,77,1.65
2020-12-18,Widget C,34,1.32
2020-02-27,Widget C,91,1.93
2022-03-07,Widget B,78,2.62
2020-04-11,Widget C,36,1.46
2022-08-25,Widget B,54,3.42
2020-02-23,Widget A,91,2.45
2021-10-11,Widget A,28,2.45
2022-07-16,Widget C,83,1.45
2021-01-10,Widget B,6,3.27
2021-12-03,Widget A,44,1.75
2020-03-21,Widget A,65,1.77
2021-12-23,Widget B,77,3.07
2022-08-20,Widget A,36,1.94
2021-06-01,Widget B,85,3.4
2021-10-18,Widget C,72,1.47
2021-08-04,Widget A,54,1.82
2021-08-09,Widget B,78,3.04
2020-11-19,Widget C,31,1.89
2020-09-26,Widget C,73,1.23
2021-09-10,Widget B,11,3.48
2020-02-03,Widget C,33,1.6
2020-09-11,Widget A,27,1.92
2022-01-25,Widget B,7,2.9
2022-05-22,Widget B,93,3.21
2022-06-11,Widget A,73,1.55
2022-08-11,Widget B,7,3.37
2021-02-01,Widget A,10,1.75
2021-10-27,Widget A,33,2.28
2021-01-09,Widget C,95,1.74
2022-03-01,Widget A,18,1.57
2020-08-06,Widget C,85,1.06
2021-07-05,Widget B,73,2.69
2022-09-06,Widget B,29,3.32
2020-06-06,Widget B,79,3.28
2021-04-28,Widget C,50,1.68
2021-02-14,Widget A,70,1.66
2021-06-08,Widget C,58,1.19
2020-01-16,Widget A,50,2.3
2020-06-04,Widget C,51,1.08
2022-08-29,Widget A,38,2.28
2021-10-29,Widget B,30,3.12
2021-07-06,Widget B,17,2.52
2022-07-03,Widget B,69,3.48
2022-12-20,Widget C,55,1.12
2021-09-13,Widget C,56,1.46
2020-06-05,Widget B,72,3.47
2021-01-25,Widget C,46,1.71
2022-09-25,Widget A,16,1.92
2021-01-17,Widget A,71,1.6
2022-11-19,Widget C,65,1.37
2021-11-16,Widget B,34,2.63
2022-06-29,Widget A,3,1.62
2020-09-20,Widget B,53,2.89
2020-08-22,Widget A,19,2.01
2022-04-06,Widget B,20,2.96
2020-07-27,Widget A,81,1.75
2022-12-11,Widget C,89,1.78
2021-03-09,Widget B,53,3.39
2020-09-07,Widget B,4,2.73
2020-11-04,Widget A,56,1.51
2022-04-15,Widget B,35,3.36
2022-06-09,Widget A,75,1.66
2021-08-19,Widget C,7,1.17
2021-01-26,Widget B,83,2.59
2020-01-01,Widget A,12,1.8
2021-08-03,Widget B,16,2.71
2022-05-04,Widget B,65,3.12
2021-12-27,Widget A,10,1.73
2022-02-19,Widget B,33,3.01
2020-12-02,Widget A,94,2.38
2020-01-16,Widget C,9,1.07
